load,phase,episode,blocking_probability,fragmentation,utilisation,qkd_success_rate,mean_reward,blocked_route,blocked_qc,blocked_cc,blocked_dc,blocked_combination
90,offline,1,0.004,0.37545352096288465,0.06721830609474937,0.996,0.992,0.0,0.0,0.0,0.004,0.0
90,offline,2,0.008,0.34796087553844085,0.06451108870967742,0.992,0.984,0.0,0.0,0.0,0.008,0.0
90,offline,3,0.002,0.3515551546229938,0.06221546101462184,0.998,0.996,0.0,0.0,0.0,0.002,0.0
90,offline,4,0.006,0.37532949260166143,0.065160872643267,0.994,0.988,0.0,0.0,0.0,0.006,0.0
90,offline,5,0.007333333333333333,0.3588137486962132,0.06425845086187598,0.9926666666666667,0.9853333333333333,0.0,0.0,0.0,0.007333333333333333,0.0
90,offline,6,0.005333333333333333,0.355332079168027,0.06299525711200477,0.9946666666666667,0.9893333333333333,0.0,0.0,0.0,0.005333333333333333,0.0
90,offline,7,0.016,0.37368326284626774,0.0662132781918097,0.984,0.968,0.0,0.0,0.0,0.016,0.0
90,offline,8,0.008666666666666666,0.37043922525787276,0.06419299437719495,0.9913333333333333,0.9826666666666667,0.0,0.0,0.0,0.008666666666666666,0.0
90,offline,9,0.007333333333333333,0.3635319135828879,0.06669948837773301,0.9926666666666667,0.9853333333333333,0.0,0.0,0.0,0.007333333333333333,0.0
90,offline,10,0.0033333333333333335,0.35470381923704575,0.06264759847640282,0.9966666666666667,0.9933333333333333,0.0,0.0,0.0,0.0033333333333333335,0.0
90,online,1,0.004666666666666667,0.37214316728484026,0.0643809188248865,0.9953333333333333,0.9906666666666667,0.0,0.0,0.0,0.004666666666666667,0.0
90,online,2,0.008,0.3662354720889041,0.06436705449148745,0.992,0.984,0.0,0.0,0.0,0.008,0.0
90,online,3,0.004,0.3431823007093347,0.06152986947791164,0.996,0.992,0.0,0.0,0.0,0.004,0.0
90,online,4,0.007333333333333333,0.3774981400501725,0.06571576981195433,0.9926666666666667,0.9853333333333333,0.0,0.0,0.0,0.007333333333333333,0.0
90,online,5,0.006666666666666667,0.36143365487627066,0.06378614373601789,0.9933333333333333,0.9866666666666667,0.0,0.0,0.0,0.006666666666666667,0.0
90,online,6,0.0026666666666666666,0.34804317527408357,0.0625875714869281,0.9973333333333333,0.9946666666666667,0.0,0.0,0.0,0.0026666666666666666,0.0
